ID: 6383125515 | Username: No username | Name: 🎁حمزه امارتی 💕💕
ID: 6961477640 | Username: No username | Name: عمجن 
ID: 7539870726 | Username: No username | Name: نورشاه اغا ننګیالی
ID: 1048030748 | Username: aminArsalan_amini | Name: Амини Ахмад Яхья
ID: 1580524574 | Username: No username | Name: OmAr🥀♡ 
ID: 7919427616 | Username: No username | Name: Mansor Afghan
ID: 1930409505 | Username: No username | Name: SHER KHAN NASIRY
ID: 6273562659 | Username: Irfanserat | Name: Irfan Serat
ID: 6368290347 | Username: No username | Name: جانان 
ID: 7051653161 | Username: Muhabatullahommary | Name: Mu habatullah Ommary
ID: 8415960109 | Username: No username | Name: Ahmad Khan
ID: 5323395636 | Username: wahidahmadirt | Name: Wahid Ahmadi
ID: 2063975990 | Username: No username | Name: ᎪᏁᎪᏚ ᏦᏂᎪᏁ 
ID: 1226002507 | Username: mansoor_LGR | Name: ꪑꪖꪀ𝘴ꪮꪮ𝘳 ♕𝕃. 𝔾. ℝ♕
ID: 6571015250 | Username: No username | Name: Raihan Paktiawal
ID: 959105029 | Username: No username | Name: Mekail Moqbal
ID: 7629092955 | Username: ulfatoo1133 | Name: ࣷࣷࣷࣷࣷࣷࣷࣷࣷᯤ̸ ألـفت 
ID: 6396374623 | Username: Afgsharif | Name: Sharifullah🍅(📦 Bums)(▪️)("🌱)🧑🏻‍💻 $GEEKS)Ⓜ️ MEMES(🐾) Zadran
ID: 1938698860 | Username: ABDULBASITSAFI | Name: Abdul Basit
ID: 7586786409 | Username: No username | Name: سمیر 👻
ID: 8268557938 | Username: No username | Name: Nabiullah Azizi
ID: 1315712122 | Username: No username | Name: WAHID ULLAH ⓩⓗⓜⓐⓝ
ID: 7698134144 | Username: Goat001202 | Name: Fk U Fake ....nds
ID: 7432692358 | Username: No username | Name: Maiwand Fida
ID: 2088245389 | Username: No username | Name: سیف الله هیواد مل
ID: 1283134605 | Username: AkAhmadi062 | Name: AK Ahmadi
ID: 8133834404 | Username: Shahid_Karimi79 | Name: ShahoO 
ID: 1045703845 | Username: Behzad_500 | Name: 𓆩Ƀēħƶⱥđ𓆪 
ID: 6529282735 | Username: No username | Name: Sahib Ullah Sabir
ID: 1908420275 | Username: No username | Name: gulab Abid
ID: 5867112635 | Username: Heela23 | Name: Heela Omid
ID: 2021078723 | Username: No username | Name: Najibullah Qureshi
ID: 6339193540 | Username: No username | Name: Azhar Wardag
ID: 7055986885 | Username: No username | Name: No Name
ID: 6160459972 | Username: No username | Name: فریدون مراد
ID: 6101128394 | Username: No username | Name: Haqmal Amirzai
ID: 6059876043 | Username: Wolskesher | Name: 🏆 وَِلَِسَِــَِڪَِــشَِـَِرَِ 🏆 
ID: 1152146636 | Username: No username | Name: Ham Oo
